"SiteID","Date","Benzene","BenzCen"
250,"2/20/2011",0.5495,"FALSE"
250,"2/26/2011",0.7412,"FALSE"
250,"3/4/2011",0.6325,"FALSE"
250,"3/10/2011",0.5814,"FALSE"
250,"3/16/2011",0.6038,"FALSE"
250,"3/28/2011",1.1054,"FALSE"
250,"4/3/2011",0.4984,"FALSE"
250,"4/9/2011",0.46,"FALSE"
250,"4/15/2011",0.3291,"FALSE"
250,"4/21/2011",0.4281,"FALSE"
250,"4/27/2011",0.3291,"FALSE"
250,"5/3/2011",0.6613,"FALSE"
250,"5/9/2011",0.3929,"FALSE"
250,"5/15/2011",0.2715,"FALSE"
250,"5/21/2011",0.3578,"FALSE"
250,"5/27/2011",0.2811,"FALSE"
250,"6/2/2011",0.2524,"FALSE"
250,"6/8/2011",0.2524,"FALSE"
250,"6/14/2011",0.2428,"FALSE"
250,"6/20/2011",0.508,"FALSE"
250,"6/26/2011",0.4792,"FALSE"
250,"7/26/2011",1.099,"FALSE"
250,"8/1/2011",0.7476,"FALSE"
250,"8/7/2011",0.6262,"FALSE"
250,"8/13/2011",0.6038,"FALSE"
250,"8/19/2011",0.4345,"FALSE"
250,"8/25/2011",0.4313,"FALSE"
250,"8/31/2011",0.3131,"FALSE"
250,"9/6/2011",0.4153,"FALSE"
250,"9/18/2011",0.3706,"FALSE"
250,"9/24/2011",1.0638,"FALSE"
250,"9/30/2011",0.2556,"FALSE"
250,"10/6/2011",0.4089,"FALSE"
250,"10/12/2011",0.5559,"FALSE"
250,"10/18/2011",0.2428,"FALSE"
250,"10/24/2011",0.7508,"FALSE"
250,"10/30/2011",0.3866,"FALSE"
250,"11/5/2011",0.3546,"FALSE"
250,"11/11/2011",0.8849,"FALSE"
250,"11/17/2011",0.4696,"FALSE"
250,"11/23/2011",0.6421,"FALSE"
250,"11/29/2011",1.0223,"FALSE"
250,"12/5/2011",0.5527,"FALSE"
250,"12/11/2011",0.5016000000000001,"FALSE"
250,"12/17/2011",0.6389,"FALSE"
250,"12/23/2011",0.6645,"FALSE"
250,"12/29/2011",0.8434,"FALSE"
250,"1/4/2012",0.6134,"FALSE"
250,"1/10/2012",0.9105,"FALSE"
250,"1/16/2012",0.4856,"FALSE"
250,"1/22/2012",0.6357,"FALSE"
250,"1/28/2012",0.4792,"FALSE"
250,"2/3/2012",0.722,"FALSE"
250,"2/9/2012",0.5207000000000001,"FALSE"
250,"2/15/2012",0.8146,"FALSE"
250,"2/21/2012",0.5846,"FALSE"
250,"2/27/2012",0.5559,"FALSE"
250,"3/4/2012",0.5782000000000001,"FALSE"
250,"3/10/2012",0.3802,"FALSE"
250,"3/16/2012",1.0383,"FALSE"
250,"4/3/2012",0.4888,"FALSE"
250,"4/9/2012",0.2779,"FALSE"
250,"4/15/2012",0.3259,"FALSE"
250,"4/21/2012",0.3642,"FALSE"
250,"4/27/2012",0.3514,"FALSE"
250,"5/3/2012",0.4536,"FALSE"
250,"5/9/2012",0.5175,"FALSE"
250,"5/15/2012",0.2364,"FALSE"
250,"5/21/2012",0.4505,"FALSE"
250,"5/27/2012",0.2652,"FALSE"
250,"6/2/2012",0.3802,"FALSE"
250,"6/8/2012",0.3738,"FALSE"
250,"6/14/2012",0.2684,"FALSE"
250,"6/20/2012",0.5655,"FALSE"
250,"6/26/2012",0.2428,"FALSE"
250,"7/2/2012",0.3738,"FALSE"
250,"7/8/2012",0.4089,"FALSE"
250,"7/14/2012",0.4441,"FALSE"
250,"7/20/2012",0.3227,"FALSE"
250,"7/26/2012",0.3418,"FALSE"
250,"8/1/2012",0.5016000000000001,"FALSE"
250,"8/7/2012",0.508,"FALSE"
250,"8/13/2012",0.377,"FALSE"
250,"8/19/2012",0.361,"FALSE"
250,"8/25/2012",0.3322,"FALSE"
250,"8/31/2012",0.3482,"FALSE"
250,"9/6/2012",0.5591,"FALSE"
250,"9/12/2012",0.5335,"FALSE"
250,"9/18/2012",0.3131,"FALSE"
250,"9/24/2012",0.5143,"FALSE"
250,"9/30/2012",1.3386,"FALSE"
250,"10/12/2012",0.607,"FALSE"
250,"10/24/2012",0.5559,"FALSE"
250,"11/5/2012",0.5687,"FALSE"
250,"11/17/2012",0.508,"FALSE"
250,"11/29/2012",0.821,"FALSE"
250,"12/11/2012",0.8242,"FALSE"
250,"12/23/2012",0.4952,"FALSE"
420,"1/1/2008",1.1565,"FALSE"
420,"1/7/2008",0.9137,"FALSE"
420,"1/13/2008",0.9648,"FALSE"
420,"1/19/2008",0.46,"FALSE"
420,"1/25/2008",0.4377,"FALSE"
420,"1/31/2008",0.575,"FALSE"
420,"2/6/2008",0.3993,"FALSE"
420,"2/12/2008",0.4025,"FALSE"
420,"2/18/2008",0.5303,"FALSE"
420,"2/24/2008",0.4185,"FALSE"
420,"3/1/2008",0.3866,"FALSE"
420,"3/7/2008",0.575,"FALSE"
420,"3/13/2008",0.3929,"FALSE"
420,"3/19/2008",0.6581,"FALSE"
420,"3/25/2008",0.3386,"FALSE"
420,"3/31/2008",0.2524,"TRUE"
420,"4/6/2008",0.2907,"FALSE"
420,"4/12/2008",0.2045,"TRUE"
420,"4/18/2008",0.2204,"TRUE"
420,"4/24/2008",0.5271,"FALSE"
420,"4/30/2008",0.4856,"FALSE"
420,"5/6/2008",0.345,"FALSE"
420,"5/12/2008",0.1533,"TRUE"
420,"5/18/2008",0.23,"TRUE"
420,"5/24/2008",0.1885,"TRUE"
420,"5/30/2008",0.2811,"FALSE"
420,"6/5/2008",0.2428,"TRUE"
420,"6/11/2008",0.1725,"TRUE"
420,"6/17/2008",0.3578,"FALSE"
420,"6/23/2008",0.4281,"FALSE"
420,"6/29/2008",0.3514,"FALSE"
420,"7/11/2008",0.3291,"FALSE"
420,"7/17/2008",0.2779,"FALSE"
420,"7/23/2008",0.3035,"FALSE"
420,"7/29/2008",0.2907,"FALSE"
420,"8/4/2008",0.3131,"FALSE"
420,"8/10/2008",0.6325,"FALSE"
420,"8/16/2008",0.4441,"FALSE"
420,"9/21/2008",0.3674,"FALSE"
420,"9/27/2008",0.4505,"FALSE"
420,"10/3/2008",0.3099,"FALSE"
420,"10/9/2008",0.3961,"FALSE"
420,"10/21/2008",0.3834,"FALSE"
420,"10/27/2008",0.4249,"FALSE"
420,"11/2/2008",0.3961,"FALSE"
420,"11/8/2008",0.4313,"FALSE"
420,"11/14/2008",0.4185,"FALSE"
420,"11/26/2008",0.8753,"FALSE"
420,"12/2/2008",0.3163,"FALSE"
420,"12/8/2008",0.3322,"FALSE"
420,"12/14/2008",0.4089,"FALSE"
420,"12/20/2008",0.4888,"FALSE"
420,"12/26/2008",0.4217,"FALSE"
420,"1/1/2009",0.4728,"FALSE"
420,"1/7/2009",0.6453,"FALSE"
420,"1/13/2009",0.9009,"FALSE"
420,"1/19/2009",0.8306,"FALSE"
420,"1/25/2009",0.5016000000000001,"FALSE"
420,"1/31/2009",0.3482,"FALSE"
420,"2/6/2009",0.5591,"FALSE"
420,"2/12/2009",0.3706,"FALSE"
420,"2/18/2009",0.7252,"FALSE"
420,"3/2/2009",0.6453,"FALSE"
420,"3/8/2009",0.6357,"FALSE"
420,"3/20/2009",0.5431,"FALSE"
420,"3/26/2009",0.5623,"FALSE"
420,"4/1/2009",0.4505,"FALSE"
420,"4/7/2009",0.5846,"FALSE"
420,"4/13/2009",0.4281,"FALSE"
420,"4/25/2009",0.4121,"FALSE"
420,"5/1/2009",0.5495,"FALSE"
420,"5/7/2009",0.5846,"FALSE"
420,"5/13/2009",0.4121,"FALSE"
420,"5/19/2009",0.4952,"FALSE"
420,"5/25/2009",0.3386,"FALSE"
420,"5/31/2009",0.4984,"FALSE"
420,"6/6/2009",0.2332,"FALSE"
420,"6/12/2009",0.7731,"FALSE"
420,"6/18/2009",0.3386,"FALSE"
420,"6/24/2009",0.3642,"FALSE"
420,"6/30/2009",0.5367,"FALSE"
420,"7/6/2009",1.0287,"FALSE"
420,"7/12/2009",0.4888,"FALSE"
420,"7/18/2009",0.5814,"FALSE"
420,"7/24/2009",0.4536,"FALSE"
420,"7/30/2009",0.5207000000000001,"FALSE"
420,"8/5/2009",0.8434,"FALSE"
420,"8/11/2009",1.0351,"FALSE"
420,"8/17/2009",0.3993,"FALSE"
420,"8/23/2009",0.4121,"FALSE"
420,"8/29/2009",0.4313,"FALSE"
420,"9/4/2009",0.4568,"FALSE"
420,"9/10/2009",0.3578,"FALSE"
420,"9/16/2009",0.2907,"FALSE"
420,"9/22/2009",0.5111,"FALSE"
420,"10/4/2009",0.5111,"FALSE"
420,"10/10/2009",0.3099,"FALSE"
420,"10/16/2009",0.4952,"FALSE"
420,"10/22/2009",0.2236,"FALSE"
420,"10/28/2009",0.4664,"FALSE"
420,"11/3/2009",0.3067,"FALSE"
420,"11/9/2009",0.8849,"FALSE"
420,"11/15/2009",0.9392,"FALSE"
420,"11/21/2009",0.6038,"FALSE"
420,"12/3/2009",0.6581,"FALSE"
420,"12/9/2009",0.6996,"FALSE"
420,"12/15/2009",0.4952,"FALSE"
420,"12/21/2009",0.6166,"FALSE"
420,"12/27/2009",1.0415,"FALSE"
420,"1/2/2010",1.3482,"FALSE"
420,"1/8/2010",1.412,"FALSE"
420,"1/14/2010",0.7859,"FALSE"
420,"1/20/2010",0.7891,"FALSE"
